stock_code,date,price,wisdom_buy,wisdom_sell,smart_money_signal,ma5,ma10,ma20,volume_ratio,combined_signal,stock_name
689009,2025-07-09,59.19,0.0,0.0,1.0,59.878,59.239,59.023,1.1933605729761354,buy,九号公司
300474,2025-07-09,70.92,0.0,0.0,0.0,71.3,71.808,71.2505,0.586909500623311,hold,景嘉微
300012,2025-07-09,11.98,0.0,0.0,0.0,11.824000000000002,11.715,11.636,1.2691515376589595,hold,华测检测
2603,2025-07-09,14.8,0.0,0.0,0.0,14.822,14.464000000000002,14.339500000000001,1.416861344469348,hold,以岭药业
34,2025-07-09,36.68,0.0,0.0,0.0,36.55,36.855000000000004,36.605000000000004,0.7762527570858181,hold,神州数码
688387,2025-07-09,5.62,0.0,0.0,0.0,5.574,5.590999999999999,5.531499999999999,0.9023715332546951,hold,信科移动
2595,2025-07-09,58.03,0.0,0.0,0.0,58.14200000000001,58.55100000000001,60.1545,0.5777201676302346,hold,豪迈科技
600707,2025-07-09,6.41,0.0,0.0,0.0,6.4159999999999995,6.422,6.3740000000000006,0.8323902866188407,hold,彩虹股份
2432,2025-07-09,36.48,0.0,0.0,-1.0,36.488,36.391,36.255,0.9590193906119531,sell,九安医疗
2436,2025-07-09,13.25,0.0,0.0,-1.0,13.294,13.148000000000001,12.5345,1.2323832582284129,sell,兴森科技
601098,2025-07-09,13.84,0.0,0.0,1.0,13.422,13.298999999999998,13.241499999999998,1.228554002621247,buy,中南传媒
601965,2025-07-09,18.77,0.0,0.0,0.0,18.663999999999998,18.122,17.93,1.4349192844888041,hold,中国汽研
688213,2025-07-09,102.86,0.0,0.0,0.0,103.99600000000001,101.968,98.277,0.9022876927774353,hold,思特威
688099,2025-07-09,71.65,0.0,0.0,0.0,71.232,71.042,69.452,0.8356634991907779,hold,晶晨股份
603341,2025-07-09,39.24,0.0,0.0,0.0,39.226,39.458000000000006,39.398999999999994,1.014298008545589,hold,龙旗科技
601118,2025-07-09,4.82,0.0,0.0,0.0,4.812,4.784,4.7299999999999995,0.8950388770443048,hold,海南橡胶
600380,2025-07-09,11.49,0.0,0.0,0.0,11.41,11.229000000000001,11.2205,1.1795133742349166,hold,健康元
300529,2025-07-09,22.68,0.0,0.0,0.0,22.616,22.02,21.575,1.2588949118558426,hold,健帆生物
600985,2025-07-09,11.54,0.0,0.0,0.0,11.506,11.434000000000001,11.4865,0.8271912291698698,hold,淮北矿业
688002,2025-07-09,68.07,-1.0,-1.0,-1.0,68.71599999999998,68.174,65.5685,0.5742225278405011,sell,睿创微纳
2821,2025-07-09,88.27,1.0,1.0,1.0,88.126,87.286,86.60400000000001,0.9158657627006399,strong_buy,凯莱英
688777,2025-07-09,45.29,0.0,0.0,1.0,44.754,44.644999999999996,44.11,1.1336005133523166,buy,中控技术
600369,2025-07-09,4.44,0.0,0.0,1.0,4.394,4.3839999999999995,4.316000000000001,1.1526341430545195,buy,西南证券
601155,2025-07-09,13.95,0.0,0.0,0.0,13.75,13.721,13.684999999999999,0.883726268246419,hold,新城控股
688469,2025-07-09,4.71,0.0,0.0,0.0,4.706,4.734999999999999,4.704,0.7590515027091476,hold,芯联集成
603979,2025-07-09,45.84,0.0,0.0,0.0,46.14200000000001,46.339,44.609500000000004,2.2827105694687604,hold,金诚信
300676,2025-07-09,49.44,0.0,0.0,0.0,49.236000000000004,49.313,49.3165,1.040995801723503,hold,华大基因
2273,2025-07-09,19.87,0.0,0.0,0.0,20.01,19.916,19.674500000000002,0.6650395538149494,hold,水晶光电
2318,2025-07-09,23.45,0.0,0.0,0.0,23.577999999999996,23.488999999999997,23.631999999999998,0.6581428222651241,hold,久立特材
2508,2025-07-09,18.9,0.0,0.0,-1.0,18.916,18.908,18.7425,0.8774215502017269,sell,老板电器
601333,2025-07-09,2.95,0.0,0.0,1.0,2.928,2.918,2.9165,0.921996299547686,buy,广深铁路
601928,2025-07-09,11.51,0.0,0.0,1.0,11.244000000000002,11.003,10.96,1.5192821116166064,buy,凤凰传媒
601666,2025-07-09,7.62,0.0,0.0,1.0,7.529999999999999,7.479000000000001,7.472499999999999,1.4166796583959318,buy,平煤股份
601098,2025-07-09,13.84,0.0,0.0,1.0,13.422,13.298999999999998,13.241499999999998,1.228554002621247,buy,中南传媒
688234,2025-07-09,56.3,0.0,0.0,0.0,56.36800000000001,57.294999999999995,57.345000000000006,0.7929920419479826,hold,天岳先进
600906,2025-07-09,7.05,0.0,0.0,0.0,6.973999999999999,6.917,6.776999999999999,1.3441188714296217,hold,财达证券
997,2025-07-09,32.27,0.0,0.0,0.0,32.260000000000005,32.021,31.097500000000004,0.6518554278532853,hold,新 大 陆
600884,2025-07-09,9.51,0.0,0.0,0.0,9.434000000000001,9.471,9.246,0.7270259057971957,hold,杉杉股份
601231,2025-07-09,14.38,0.0,0.0,0.0,14.508000000000001,14.49,14.336000000000002,0.7911311800498134,hold,环旭电子
600258,2025-07-09,14.24,0.0,0.0,0.0,14.180000000000001,14.142000000000001,13.894499999999999,0.6987741734018961,hold,首旅酒店
50,2025-07-09,8.6,0.0,0.0,0.0,8.559999999999999,8.503,8.288,0.8661822453584602,hold,深天马A
688778,2025-07-09,46.33,0.0,0.0,0.0,46.936,47.1,46.3815,0.6699580316054832,hold,厦钨新能
601611,2025-07-09,9.18,0.0,0.0,0.0,9.172,9.16,9.0965,0.9709202496865296,hold,中国核建
600392,2025-07-09,12.97,0.0,0.0,0.0,12.913999999999998,12.943999999999999,13.097,0.6610222850238101,hold,盛和资源
2409,2025-07-09,53.77,0.0,0.0,0.0,53.715999999999994,53.926,53.0985,1.4483648165099443,hold,雅克科技
960,2025-07-09,15.49,0.0,0.0,0.0,15.674000000000001,15.497,14.916,0.9713143317950363,hold,锡业股份
603737,2025-07-09,37.85,0.0,0.0,0.0,37.862,37.413,36.287,0.9906914052918134,hold,三棵树
600004,2025-07-09,9.15,0.0,0.0,0.0,9.081999999999999,9.092,9.094000000000001,1.526095663790269,hold,白云机场
300001,2025-07-09,23.82,0.0,0.0,0.0,23.784,23.679,23.1025,0.9435767960762614,hold,特锐德
825,2025-07-09,4.01,0.0,0.0,0.0,3.9319999999999995,3.7969999999999997,3.6845,1.7040471368950463,hold,太钢不锈
600348,2025-07-09,6.95,1.0,1.0,1.0,6.87,6.792,6.769500000000001,1.041719110421552,strong_buy,华阳股份
933,2025-07-09,17.05,0.0,0.0,1.0,17.072000000000003,16.981,16.808,0.8886744951541717,buy,神火股份
600720,2025-07-09,7.84,0.0,0.0,1.0,7.758,7.747,7.736999999999999,1.5812289176360734,buy,中交设计
600517,2025-07-09,5.4,0.0,0.0,1.0,5.208,5.154999999999999,5.0565,3.3254606460579925,buy,国网英大
429,2025-07-09,13.85,0.0,0.0,0.0,13.506,13.438999999999998,13.548000000000002,1.2767608668013393,hold,粤高速A
600612,2025-07-09,50.37,0.0,0.0,0.0,49.788,49.698,50.259,1.0777042032321835,hold,老凤祥
688772,2025-07-09,13.75,0.0,0.0,0.0,13.874,14.002,13.956,0.8523155275519997,hold,珠海冠宇
601198,2025-07-09,11.16,0.0,0.0,0.0,11.132,11.15,11.011500000000002,0.767945671838078,hold,东兴证券
600312,2025-07-09,15.36,0.0,0.0,0.0,15.246,15.149000000000001,14.958000000000002,1.0724959135359502,hold,平高电气
603899,2025-07-09,29.84,0.0,0.0,0.0,29.438,29.183,30.402499999999996,0.7145231075077676,hold,晨光股份
688220,2025-07-09,74.0,0.0,0.0,0.0,73.88199999999999,74.588,73.53800000000001,0.7353181829540902,hold,翱捷科技
603589,2025-07-09,33.43,0.0,0.0,0.0,33.476,33.397000000000006,33.284499999999994,1.1538061924222485,hold,口子窖
600062,2025-07-09,18.78,0.0,0.0,0.0,18.816,18.726,18.697499999999998,0.6962864139044637,hold,华润双鹤
600688,2025-07-09,2.9,0.0,0.0,0.0,2.88,2.87,2.8815,0.7411991909244173,hold,上海石化
688349,2025-07-09,24.17,0.0,0.0,0.0,24.214000000000002,24.431,24.418,0.8851077685741721,hold,三一重能
300757,2025-07-09,136.51,0.0,0.0,0.0,138.792,142.352,137.8375,0.727188942791619,hold,罗博特科
300458,2025-07-09,37.92,0.0,0.0,0.0,38.2,38.851,38.753499999999995,0.5861199261286568,hold,全志科技
967,2025-07-09,6.37,0.0,0.0,0.0,6.529999999999999,6.733,6.539,0.5768619521656796,hold,盈峰环境
601000,2025-07-09,4.08,0.0,0.0,0.0,4.0920000000000005,4.075,4.0825,0.8366314794191893,hold,唐山港
300487,2025-07-09,49.58,0.0,0.0,0.0,49.666000000000004,49.241,49.12050000000001,0.49149754696381126,hold,蓝晓科技
27,2025-07-09,6.68,1.0,1.0,1.0,6.5680000000000005,6.495,6.4275,1.8690591111294113,strong_buy,深圳能源
623,2025-07-09,17.05,1.0,1.0,1.0,16.878,16.776999999999997,16.528,1.464750509688445,strong_buy,吉林敖东
300037,2025-07-09,33.37,0.0,0.0,0.0,33.501999999999995,34.149,34.312,0.5463314883075372,hold,新宙邦
601118,2025-07-09,4.82,0.0,0.0,0.0,4.812,4.784,4.7299999999999995,0.8950388770443048,hold,海南橡胶
600879,2025-07-09,10.07,0.0,0.0,0.0,10.118,10.094000000000001,9.638,0.655029764696361,hold,航天电子
600511,2025-07-09,29.06,0.0,0.0,0.0,29.042,29.065999999999995,29.062,0.8645960851622349,hold,国药股份
688099,2025-07-09,71.65,0.0,0.0,0.0,71.232,71.042,69.452,0.8356634991907779,hold,晶晨股份
738,2025-07-09,19.92,0.0,0.0,0.0,20.13,20.122000000000003,19.5165,0.8962048875534885,hold,航发控制
688281,2025-07-09,58.42,0.0,0.0,0.0,58.32000000000001,58.61600000000001,57.27700000000001,0.7110245298387156,hold,华秦科技
591,2025-07-09,4.58,0.0,0.0,0.0,4.522,4.458,4.399,1.8693540901934065,hold,太阳能
603228,2025-07-09,50.27,0.0,0.0,0.0,47.306,43.497,37.69199999999999,1.3663239456728784,hold,景旺电子
600663,2025-07-09,9.07,0.0,0.0,0.0,8.988000000000001,8.940000000000001,9.0625,0.5922389508864642,hold,陆家嘴
2155,2025-07-09,17.6,0.0,0.0,0.0,17.913999999999998,17.932,18.1235,0.810073166270789,hold,湖南黄金
600109,2025-07-09,9.02,0.0,0.0,0.0,8.858,8.754,8.5705,1.8000652813630729,hold,国金证券
2926,2025-07-09,9.18,0.0,0.0,0.0,9.254000000000001,9.134,8.848,0.8363306007750558,hold,华西证券
2340,2025-07-09,6.29,0.0,0.0,0.0,6.318,6.296,6.22,0.9560531889838766,hold,格林美
603939,2025-07-09,24.44,0.0,0.0,0.0,24.740000000000002,24.46,24.201,0.6869495333398138,hold,益丰药房
2261,2025-07-09,29.94,0.0,0.0,0.0,30.03,30.428000000000004,30.140500000000003,0.7340593782380962,hold,拓维信息
600909,2025-07-09,5.94,0.0,0.0,0.0,5.8759999999999994,5.858,5.731,1.0492492786819587,hold,华安证券
688676,2025-07-09,34.83,0.0,0.0,0.0,33.984,33.563,32.794500000000006,1.3864719861872217,hold,金盘科技
601921,2025-07-09,8.15,1.0,1.0,1.0,8.016,8.016,7.969500000000001,1.361107347312083,strong_buy,浙版传媒
600170,2025-07-09,2.42,0.0,0.0,1.0,2.408,2.403,2.393,2.054998636031184,buy,上海建工
600848,2025-07-09,9.15,0.0,0.0,1.0,9.122,9.106,9.061499999999999,0.8596307524943152,buy,上海临港
603486,2025-07-09,58.2,0.0,0.0,1.0,56.806,56.636,55.16850000000001,2.180883359050832,buy,科沃斯
600528,2025-07-09,7.5,0.0,0.0,1.0,7.44,7.412999999999999,7.354499999999999,1.5871499366690296,buy,中铁工业
2340,2025-07-09,6.29,0.0,0.0,0.0,6.318,6.296,6.220000000000001,0.9560531889838766,hold,格林美
603379,2025-07-09,46.2,0.0,0.0,0.0,47.848,47.91,47.596500000000006,1.8473011626710567,hold,三美股份
300803,2025-07-09,78.8,0.0,0.0,0.0,78.574,78.97,70.9475,1.0616481773405566,hold,指南针
300888,2025-07-09,39.91,0.0,0.0,0.0,40.224000000000004,40.43,41.875,0.6160491062754103,hold,稳健医疗
600271,2025-07-09,9.1,0.0,0.0,0.0,9.065999999999999,9.113,8.9845,0.9267479269271063,hold,航天信息
601162,2025-07-09,4.89,0.0,0.0,0.0,4.8420000000000005,4.835,4.4655000000000005,1.1268937326020294,hold,天风证券
688235,2025-07-09,226.46,0.0,0.0,0.0,227.098,233.373,243.10100000000003,1.0602782548421799,hold,百济神州
600985,2025-07-09,11.54,0.0,0.0,0.0,11.506,11.434,11.486500000000001,0.8271912291698698,hold,淮北矿业
600764,2025-07-09,33.4,0.0,0.0,0.0,33.148,33.58,31.607,0.9793912286112335,hold,中国海防
932,2025-07-09,5.18,0.0,0.0,0.0,5.093999999999999,4.777,4.5805,0.8109425761450277,hold,华菱钢铁
601880,2025-07-09,1.53,0.0,0.0,0.0,1.518,1.51,1.498,0.6081129653633952,hold,辽港股份
600879,2025-07-09,10.07,0.0,0.0,0.0,10.118,10.094,9.638,0.655029764696361,hold,航天电子
300474,2025-07-09,70.92,0.0,0.0,0.0,71.3,71.808,71.2505,0.586909500623311,hold,景嘉微
600535,2025-07-09,15.86,0.0,0.0,0.0,15.867999999999999,15.771,15.751,0.6752813566227021,hold,天士力
300496,2025-07-09,55.1,0.0,0.0,0.0,55.081999999999994,55.773,55.266000000000005,1.0019250538674207,hold,中科创达
2318,2025-07-09,23.45,0.0,0.0,0.0,23.577999999999996,23.489,23.631999999999998,0.6581428222651241,hold,久立特材
600098,2025-07-09,6.61,0.0,0.0,0.0,6.504,6.403999999999999,6.3655,0.992870743778984,hold,广州发展
300144,2025-07-09,8.51,0.0,0.0,0.0,8.488000000000001,8.501000000000001,8.519,0.9216333574286558,hold,宋城演艺
3035,2025-07-09,4.8,0.0,0.0,0.0,4.754,4.681,4.659000000000001,1.2744809108187949,hold,南网能源
300024,2025-07-09,16.71,0.0,0.0,0.0,16.654000000000003,16.781,16.621000000000002,0.9971702162380432,hold,机器人
603556,2025-07-09,25.68,0.0,0.0,0.0,25.578,25.403,25.2625,1.2951944502484178,hold,海兴电力
300285,2025-07-09,18.0,0.0,0.0,0.0,17.464,17.344,16.933,1.3445406682622338,hold,国瓷材料
2281,2025-07-09,47.12,0.0,0.0,0.0,47.144000000000005,47.753,46.2105,1.037730813001255,hold,光迅科技
601233,2025-07-09,10.82,0.0,0.0,0.0,10.888,10.749,10.6375,0.93088879339581,hold,桐昆股份
601216,2025-07-09,5.47,0.0,0.0,0.0,5.465999999999999,5.476,5.4399999999999995,0.5424036559143992,hold,君正集团
688278,2025-07-09,69.95,0.0,0.0,0.0,70.88000000000001,71.62700000000001,71.355,0.46322607273824074,hold,特宝生物
601231,2025-07-09,14.38,0.0,0.0,0.0,14.508000000000001,14.49,14.335999999999999,0.7911311800498134,hold,环旭电子
300373,2025-07-09,51.24,0.0,0.0,0.0,50.798,51.224000000000004,50.4745,0.629032887293723,hold,扬杰科技
60,2025-07-09,4.64,0.0,0.0,0.0,4.67,4.635,4.5415,1.0860217521872693,hold,中金岭南
603885,2025-07-09,12.83,0.0,0.0,0.0,12.932000000000002,13.190000000000001,13.318999999999999,1.5975442288324302,hold,吉祥航空
